Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Milos Bozovic,MNE,24,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4
Jaroslav Trkovský,CZE,20,LB,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,88.0,0
Aleks Vlah,SLO,88,CB,4,4,11,3,0,0,10,4,0,0,2,2,17,20,0,0,0,23,1,0,8,233.0,3
Philipp Weber,GER,20,CB,1,1,1,0,0,0,2,3,0,0,0,0,4,2,0,0,0,6,0,0,3,45.0,6
Nicolas Raemy,SUI,15,RB,0,0,0,0,0,1,1,3,0,0,1,1,1,2,0,0,0,3,0,0,2,55.0,6
Andrei Valeriu Dragan,ROU,30,CB,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,4,0,0,2,34.0,4
Kevin Maagerø Gulliksen,NOR,44,RW,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69.0,0
Luka Peric,BIH,17,RW,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,83.0,0
Lazar Kukic,SRB,24,CB,0,0,2,3,0,0,6,1,0,0,0,0,4,2,0,0,0,6,2,0,8,83.0,6
Simon Hald Jensen,DEN,34,LP,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,2,175.0,4
Felix Claar,SWE,19,CB,0,0,5,1,0,0,14,3,4,0,1,1,14,10,0,1,0,36,6,0,18,305.0,3
Evangelos Arampatzis,GRE,38,RW,0,0,1,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,112.0,0
Angel Fernandez Perez,ESP,6,LW,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,88.0,4
Predrag Vejin,SRB,23,RB,0,0,0,3,0,0,1,2,0,1,0,0,2,1,0,1,0,0,0,1,0,63.0,6
Jakub Szyszko,POL,33,RW,0,0,1,0,1,3,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,131.0,0
Ionut Nistor Ionita,ROU,5,RW,3,1,3,0,2,4,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,145.0,0
Giorgi Areshidze,GEO,9,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,4
Ivan Djonov,MKD,38,LB,0,0,1,0,2,0,3,1,0,0,0,0,0,2,0,1,0,4,0,0,4,77.0,4
Radojica Cepic,MNE,9,CB,0,0,2,1,0,0,1,2,0,0,0,0,0,1,0,2,0,2,2,0,5,110.0,6
Gabriel Setterblom,NOR,42,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4
Piotr Jedraszczyk,POL,4,CB,0,0,2,2,0,0,5,0,0,0,0,0,1,1,0,0,0,6,0,0,2,51.0,6
Magnus Landin Jacobsen,DEN,4,LW,0,0,0,0,13,3,0,0,1,0,0,0,0,0,0,4,0,2,4,1,1,274.0,5
Theodoros Boskos,GRE,6,LB,0,0,0,0,0,0,2,0,1,0,0,0,5,7,0,1,0,4,1,0,4,60.0,6
Gøran Søgard Johannessen,NOR,23,LB,0,0,5,3,0,0,3,0,1,0,0,0,4,3,0,1,0,6,0,0,6,113.0,6
Simon Bogetoft Pytlick,DEN,43,LB,0,0,9,4,1,0,11,5,1,1,0,0,15,15,0,1,0,36,2,3,13,339.0,3
Nicusor Andrei Negru,ROU,24,LW,7,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,70.0,0
Ilija Abutovic,SRB,11,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,26.0,4
Jure Dolenec,SLO,11,RB,0,2,6,2,0,0,5,0,1,0,0,0,7,6,0,1,0,16,0,1,10,191.0,1
Milos Orbovic,SRB,22,RB,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,2,0,0,2,53.0,4
Jim Gottfridsson,SWE,24,CB,0,0,2,2,0,0,9,2,0,0,0,1,12,13,0,3,0,29,2,0,19,270.0,1
Nils Lichtlein,GER,3,CB,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,25.0,4
Damian Przytula,POL,2,LB,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,17.0,4
Marko Kizikj,MKD,20,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4
Lukas Zerbe,GER,17,RW,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,4
Vukasin Vorkapic,SRB,3,RW,0,0,0,0,2,3,0,0,4,0,0,0,1,0,0,1,0,1,2,0,2,72.0,0
Christoph Steinert,GER,44,RB,2,0,0,1,2,3,0,0,3,0,1,1,2,2,0,3,0,1,2,2,4,335.0,5
