,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
155,POR,4,Pedro Portela,11,1,1,1,8,2,0,0,4,0,0,0,0,0,0,1,0,2,0,2,0,0,0,185.0,0,RW,1,0
156,NOR,3,Vetle Eck Aga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,87.0,0,LP,0,0
157,FAR,75,Rói Ellefsen á Skipagøtu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,CB,0,0
158,NOR,9,Henrik Jakobsen,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,LP,0,0
159,ESP,70,Daniel Fernandez Jimenez,0,0,0,0,4,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,80.0,0,LW,0,0
161,GRE,21,Dimitrios Tziras,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,60.0,0,RW,0,0
162,DEN,29,Hans Aaron Mensing,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,28.0,0,LB,0,0
163,GER,36,Lukas Mertens,0,0,2,0,7,9,0,0,5,0,1,1,0,0,0,0,0,2,0,5,0,0,1,269.0,0,LW,0,0
164,SWE,23,Albin Lagergren,0,0,10,10,0,0,7,2,4,0,0,0,3,5,0,0,0,13,0,5,0,0,10,286.0,0,RB,0,0
165,GRE,14,Nikolaos Passias,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,3,0,3,0,0,0,0,1,73.0,0,LB,0,0
166,SRB,14,Marko Milosavljevic,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,5,0,1,0,0,3,62.0,0,LB,0,0
167,SLO,17,Nejc Cehte,0,0,9,2,0,0,5,1,1,0,0,0,4,10,0,2,0,7,0,2,0,0,5,277.0,0,RB,0,0
169,ROU,11,Robert Nagy,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.0,0,LP,0,0
170,ROU,17,Dan Emil Racotea,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,3,61.0,0,LB,0,0
171,ISL,14,Ómar Ingi Magnusson,8,7,2,1,0,0,6,1,0,0,0,0,3,8,0,0,0,11,0,2,1,0,12,187.0,0,RB,1,0
172,POL,21,Kamil Syprzak,7,1,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,68.0,0,LP,0,0
173,CRO,41,Tin Lucin,0,0,2,8,0,0,4,1,0,0,1,1,5,11,0,5,0,11,0,0,0,0,7,125.0,0,CB,0,0
